The Shawshank Redemption,The Green Mile,The Mist,The Blob,Dreamcatcher,High Crimes,Seven,Rocket Man,Cadillac Man,War of the Worlds,The Majestic,Sometimes They Come Back,Hollywood Dreams
Dances with Wolves,The Postman,Open Range,The Postman,Mr. Brooks,Wyatt Earp,The Bodyguard,Message in a Bottle,Geronimo: An American Legend,Silverado,Rapa Nui,Wagons East,Waterworld
It Happened One Night,Mr. Deeds Goes to Town,Broadway Bill,Lady for a Day,You Can't Take It with You,Mr. Smith Goes to Washington,Meet John Doe,Lost Horizon,It's a Wonderful Life,Arsenic and Old Lace,Twentieth Century,Platinum Blonde,Pocketful of Miracles
The 400 Blows,Love on the Run,Antoine and Colette,Stolen Kisses,Jules and Jim,Bed & Board,Le Dernier Métro,Breathless,Small Change,Une histoire d'eau,Two English Girls,L'Enfant sauvage,Les mistons
Rebecca,Suspicion,Jamaica Inn,Foreign Correspondent,Sabotage,The 39 Steps,Laura,Lured,Saboteur,Spellbound,Number 13,The Farmer's Wife,The Pleasure Garden
Cool Hand Luke,Pocket Money,WUSA,The Drowning Pool,Fools' Parade,Alien,Butch Cassidy and the Sundance Kid,Straight Time,Love and Bullets,Slap Shot,Bandolero!,Final Shot: The Hank Gathers Story,Until They Sail
Groundhog Day,Multiplicity,Stripes,Bedazzled,Garfield,The Razor's Edge,Meatballs,Rushmore,Caddyshack,Stranger Than Fiction,Hero,Caddyshack,Crush
Platoon,Wall Street,Talk Radio,Born on the Fourth of July,Salvador,JFK,The Doors,Nixon,Natural Born Killers,Alexander,A Midnight Clear,Men at Work,The Substitute
The Deer Hunter,Heaven's Gate,Greetings,The Man Who Fell to Earth,Desperate Hours,The Godfather Saga,Marvin's Room,Falling in Love,The Godfather Part II,Inside Moves,Flawless,Death Becomes Her,The Dead Zone
In the Name of the Father,The Boxer,In America,My Left Foot,Some Mother's Son,A World Apart,Richard III,Get Rich or Die Tryin',Time Bandits,Midnight Express,The Field,Carrington,Bill: On His Own
On the Waterfront,A Streetcar Named Desire,The Harder They Fall,Boomerang,12 Angry Men,Hands Over the City,All Falls Down,The Song of Bernadette,A Face in the Crowd,Panic in the Streets,L'Atalante,Zéro de Conduite,The Big Knife
