title,recs
The Lives of Others,"Cinema Paradiso,The Hunt,Life Is Beautiful,The Intouchables,Downfall,City of God,Amélie,Capernaum,Rear Window,American Beauty,The Usual Suspects,Oldboy"
The Shawshank Redemption,"The Dark Knight,Forrest Gump,The Godfather,Fight Club,Inception,Pulp Fiction,The Green Mile,Schindler's List,Se7en,Interstellar,The Godfather Part II,The Lord of the Rings: The Return of the King"
Sunset Blvd.,"Double Indemnity,The Apartment,Witness for the Prosecution,Rear Window,Paths of Glory,Some Like It Hot,Vertigo,Citizen Kane,Casablanca,City Lights,North by Northwest,The Great Dictator"
WALL·E,"Up,Toy Story,Finding Nemo,Ratatouille,Monsters, Inc.,The Lion King,Toy Story 3,The Incredibles,Coco,Inside Out,How to Train Your Dragon,Spirited Away"
Raiders of the Lost Ark,"Indiana Jones and the Last Crusade,Indiana Jones and the Temple of Doom,Indiana Jones and the Kingdom of the Crystal Skull,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode IV - A New Hope,Back to the Future,Jurassic Park,Die Hard,Terminator 2: Judgment Day,Alien,Indiana Jones and the Dial of Destiny"
Django Unchained,"Inglourious Basterds,Pulp Fiction,The Wolf of Wall Street,Shutter Island,Joker,Se7en,Forrest Gump,Inception,Fight Club,The Departed,Interstellar,The Dark Knight"
Memento,"The Prestige,Se7en,Inception,Shutter Island,Django Unchained,The Departed,The Usual Suspects,The Dark Knight Rises,Fight Club,Interstellar,Léon: The Professional,Inglourious Basterds"
Apocalypse Now,"Full Metal Jacket,One Flew Over the Cuckoo's Nest,The Godfather Part II,Alien,Platoon,The Godfather,The Usual Suspects,2001: A Space Odyssey,Raiders of the Lost Ark,The Good, the Bad and the Ugly,American History X,A Clockwork Orange"
Once Upon a Time in the West,"The Good, the Bad and the Ugly,For a Few Dollars More,Once Upon a Time in America,A Fistful of Dollars,Rear Window,Modern Times,Seven Samurai,Duck, You Sucker!,Cinema Paradiso,Apocalypse Now,Casablanca,Harakiri"
Alien,"Aliens,Alien³,Alien: Resurrection,Terminator 2: Judgment Day,Back to the Future,Star Wars: Episode IV - A New Hope,Alien: Covenant,The Terminator,The Matrix,The Silence of the Lambs,Raiders of the Lost Ark,Star Wars: Episode V - The Empire Strikes Back"
